Matchup,Battles,Winrate
DarkTemplar/Viking vs Phoenix/VoidRay,1,0.5
Carrier/Queen vs DarkTemplar/Mothership,1,0.5
Baneling/Ghost vs LiberatorAG/ThorAP,1,0.5
Battlecruiser/Carrier vs Hydralisk/Ultralisk,1,0.5
Corruptor/SiegeTankSieged vs Lurker/Ultralisk,1,0.5
BattleHellion/Battlecruiser vs Lurker/Ravager,1,0.5
BroodLord/DarkTemplar vs Immortal/Tempest,1,0.5
Battlecruiser/Queen vs DarkTemplar/Marine,1,0.5
DarkTemplar/Mutalisk vs LurkerBurrowed/Viking,1,0.5
BroodLord/Lurker vs Oracle/Zergling,1,0.5
Corruptor/Hellion vs Mothership/Zealot,1,0.5
Corruptor/DarkTemplar vs Roach/VoidRay,1,0.5
Battlecruiser/BroodLord vs Oracle/Zergling,1,0.5
Raven/SwarmHostBurrowed vs Reaper/Tempest,1,0.5
Battlecruiser/Liberator vs DarkTemplar/Raven,1,0.5
Banshee/DarkTemplar vs Carrier/Infestor,1,0.5
BattleHellion/Carrier vs Marauder/Mutalisk,1,0.5
DarkTemplar/Phoenix vs Ravager/Tempest,1,0.5
Adept/Raven vs Immortal/Roach,1,0.5
Baneling/Zergling vs SiegeTankSieged/Tempest,1,0.5
BroodLord/Corruptor vs Mutalisk/Stalker,1,0.5
Adept/Carrier vs Banshee/DarkTemplar,1,0.5
BattleHellion/Corruptor vs Marauder/Reaper,1,0.5
Adept/DarkTemplar vs Corruptor/SiegeTankSieged,1,0.5
Carrier/Mutalisk vs Lurker/Raven,1,0.5
Infestor/Ultralisk vs LiberatorAG/Tempest,1,0.5
Lurker/Stalker vs Phoenix/Zergling,1,0.5
Archon/Oracle vs BroodLord/ThorAP,1,0.5
DarkTemplar/VikingAssault vs SwarmHostBurrowed/ThorAP,1,0.5
Ghost/Medivac vs Hellion/SiegeTank,1,0.5
Ghost/Hellion vs Raven/Reaper,1,0.5
DarkTemplar/Queen vs Marine/Raven,1,0.5
Colossus/DarkTemplar vs Mutalisk/VoidRay,1,0.5
BroodLord/Ghost vs Roach/SiegeTank,1,0.5
DarkTemplar/Tempest vs Marauder/Mutalisk,1,0.5
Queen/VoidRay vs SwarmHostBurrowed/WidowMineBurrowed,1,0.5
Infestor/ThorAP vs Tempest/Ultralisk,1,0.5
Battlecruiser/BroodLord vs SwarmHostBurrowed/Zergling,1,0.5
Colossus/Immortal vs Corruptor/HighTemplar,1,0.5
Adept/BroodLord vs DarkTemplar/SiegeTank,1,0.5
Adept/Ultralisk vs Colossus/Phoenix,1,0.5
Banshee/Infestor vs Hellion/Oracle,1,0.5
Ghost/HighTemplar vs Queen/Tempest,1,0.5
Battlecruiser/Cyclone vs DarkTemplar/Reaper,1,0.5
Corruptor/Cyclone vs Oracle/WidowMineBurrowed,1,0.5
Mutalisk/VoidRay vs Oracle/Stalker,1,0.5
Banshee/DarkTemplar vs Carrier/Mutalisk,1,0.5
Infestor/SwarmHostBurrowed vs Roach/VikingAssault,1,0.5
BroodLord/Mothership vs SwarmHostBurrowed/Zergling,1,0.5
Battlecruiser/Carrier vs DarkTemplar/Queen,1,0.5
Adept/Tempest vs Corruptor/ThorAP,1,0.5
Banshee/SiegeTankSieged vs BroodLord/Ultralisk,1,0.5
Battlecruiser/Colossus vs Carrier/DarkTemplar,1,0.5
Carrier/LurkerBurrowed vs Immortal/Mutalisk,1,0.5
Battlecruiser/Cyclone vs DarkTemplar/Stalker,1,0.5
Adept/VoidRay vs Oracle/Roach,1,0.5
Baneling/Oracle vs BroodLord/Colossus,1,0.5
Adept/Oracle vs Banshee/ThorAP,1,0.5
DarkTemplar/Roach vs Marine/Mutalisk,1,0.5
Battlecruiser/Marine vs DarkTemplar/Zergling,1,0.5
Carrier/Phoenix vs DarkTemplar/HighTemplar,1,0.5
DarkTemplar/SiegeTankSieged vs Immortal/Mutalisk,1,0.5
BroodLord/DarkTemplar vs Carrier/SiegeTankSieged,1,0.5
Raven/Zealot vs Stalker/SwarmHostBurrowed,1,0.5
BroodLord/SwarmHostBurrowed vs Mothership/Zealot,1,0.5
Archon/Carrier vs DarkTemplar/Hydralisk,1,0.5
Immortal/Phoenix vs Mutalisk/Queen,1,0.5
Carrier/LurkerBurrowed vs DarkTemplar/Infestor,1,0.5
Baneling/Corruptor vs Cyclone/Zealot,1,0.5
DarkTemplar/Phoenix vs Roach/Viking,1,0.5
Baneling/DarkTemplar vs Immortal/Phoenix,1,0.5
Marine/Phoenix vs Viking/Zergling,1,0.5
Battlecruiser/Mutalisk vs HighTemplar/Infestor,1,0.5
Battlecruiser/Infestor vs BroodLord/Corruptor,1,0.5
Banshee/DarkTemplar vs BroodLord/Ultralisk,1,0.5
DarkTemplar/Roach vs Liberator/SwarmHostBurrowed,1,0.5
Corruptor/Queen vs Cyclone/SwarmHostBurrowed,1,0.5
Archon/Queen vs Marine/Stalker,1,0.5
DarkTemplar/LurkerBurrowed vs Infestor/SwarmHostBurrowed,1,0.5
Hellion/ThorAP vs Roach/VikingAssault,1,1.0
Archon/SwarmHostBurrowed vs Ghost/Raven,1,1.0
Carrier/Phoenix vs Tempest/Zergling,1,1.0
Carrier/Thor vs HighTemplar/Phoenix,1,1.0
Corruptor/HighTemplar vs SiegeTankSieged/Tempest,1,1.0
Battlecruiser/ThorAP vs Carrier/Stalker,1,1.0
BroodLord/DarkTemplar vs Cyclone/LurkerBurrowed,1,1.0
HighTemplar/Infestor vs LiberatorAG/Tempest,1,1.0
DarkTemplar/Queen vs Mothership/SiegeTankSieged,1,1.0
DarkTemplar/Immortal vs Queen/Raven,1,1.0
Colossus/Infestor vs Ravager/Tempest,1,1.0
Carrier/Ultralisk vs Immortal/Viking,1,1.0
Carrier/DarkTemplar vs Reaper/Zergling,1,1.0
BroodLord/Liberator vs Mutalisk/Reaper,1,1.0
BroodLord/Roach vs Colossus/HighTemplar,1,1.0
