Hand,Battles,Winrate
Colossus/Hellion,16,0.21875
Hydralisk/Roach,18,0.2222222222222222
Banshee/Mothership,9,0.2222222222222222
Adept/Reaper,9,0.2222222222222222
Medivac/Roach,9,0.2222222222222222
HighTemplar/LurkerBurrowed,9,0.2222222222222222
Colossus/Tempest,29,0.22413793103448276
Adept/Colossus,20,0.225
BattleHellion/Ultralisk,11,0.22727272727272727
Adept/Medivac,11,0.22727272727272727
BroodLord/Reaper,11,0.22727272727272727
Hydralisk/Mutalisk,22,0.22727272727272727
Adept/Zealot,11,0.22727272727272727
Hellion/Marauder,11,0.22727272727272727
Reaper/Zergling,13,0.23076923076923078
Hellion/Stalker,13,0.23076923076923078
BattleHellion/Marauder,13,0.23076923076923078
Ultralisk/Viking,15,0.23333333333333334
Cyclone/Zergling,15,0.23333333333333334
Infestor/Viking,15,0.23333333333333334
Reaper/Stalker,19,0.23684210526315788
SwarmHostBurrowed/Zergling,12,0.25
Reaper/Zealot,10,0.25
LurkerBurrowed/Medivac,4,0.25
Carrier/Lurker,4,0.25
BroodLord/Viking,12,0.25
Liberator/Reaper,10,0.25
Colossus/LurkerBurrowed,6,0.25
Adept/Roach,14,0.25
Baneling/BattleHellion,14,0.25
Marine/SwarmHostBurrowed,14,0.25
Liberator/WidowMineBurrowed,2,0.25
Hydralisk/Zergling,14,0.25
Reaper/VikingAssault,8,0.25
DarkTemplar/WidowMine,2,0.25
SiegeTank/SwarmHostBurrowed,6,0.25
SiegeTank/Ultralisk,14,0.25
Hellion/SiegeTank,4,0.25
Hellion/VikingAssault,8,0.25
Banshee/WidowMineBurrowed,4,0.25
Marauder/SwarmHostBurrowed,16,0.25
Ravager/Reaper,8,0.25
LurkerBurrowed/Viking,2,0.25
Liberator/Viking,8,0.25
LiberatorAG/Roach,2,0.25
Colossus/SiegeTank,4,0.25
BattleHellion/SiegeTank,2,0.25
LurkerBurrowed/Ravager,6,0.25
Drone/Reaper,2,0.25
Marauder/WidowMineBurrowed,6,0.25
BroodLord/Overlord,2,0.25
Battlecruiser/Lurker,4,0.25
Cyclone/Hydralisk,21,0.2619047619047619
Banshee/Ravager,19,0.2631578947368421
Phoenix/SiegeTankSieged,15,0.26666666666666666
Hellion/HighTemplar,15,0.26666666666666666
Cyclone/Hellion,13,0.2692307692307692
Cyclone/Zealot,13,0.2692307692307692
Hellion/SwarmHostBurrowed,13,0.2692307692307692
Cyclone/Ravager,24,0.2708333333333333
Zealot/Zergling,11,0.2727272727272727
Colossus/Liberator,11,0.2727272727272727
BattleHellion/Oracle,11,0.2727272727272727
Banshee/Marine,11,0.2727272727272727
Colossus/SwarmHostBurrowed,20,0.275
Ravager/Roach,9,0.2777777777777778
Hydralisk/Medivac,9,0.2777777777777778
Liberator/SiegeTank,9,0.2777777777777778
Ultralisk/Zealot,25,0.28
Roach/Ultralisk,25,0.28
Adept/Banshee,16,0.28125
Mutalisk/Reaper,16,0.28125
Banshee/Stalker,16,0.28125
BroodLord/Zealot,23,0.2826086956521739
Oracle/Zergling,21,0.2857142857142857
Archon/Viking,7,0.2857142857142857
Colossus/Marauder,14,0.2857142857142857
Oracle/Roach,7,0.2857142857142857
Ravager/Zergling,14,0.2857142857142857
Immortal/SiegeTank,7,0.2857142857142857
Immortal/Stalker,36,0.2916666666666667
Colossus/Zealot,17,0.29411764705882354
Mothership/Reaper,5,0.3
Corruptor/Zealot,20,0.3
Mothership/ThorAP,10,0.3
Colossus/Ravager,20,0.3
Lurker/VoidRay,5,0.3
Marine/Zergling,10,0.3
Hydralisk/SwarmHostBurrowed,15,0.3
Colossus/Lurker,10,0.3
Adept/SwarmHostBurrowed,15,0.3
Thor/WidowMineBurrowed,5,0.3
BroodLord/Mothership,5,0.3
Oracle/WidowMineBurrowed,5,0.3
Baneling/Marauder,18,0.3055555555555556
Cyclone/Roach,18,0.3055555555555556
BattleHellion/Ravager,18,0.3055555555555556
BattleHellion/Stalker,18,0.3055555555555556
Roach/Zergling,13,0.3076923076923077
Corruptor/Hydralisk,16,0.3125
Carrier/Viking,8,0.3125
Medivac/Zergling,8,0.3125
Hydralisk/Thor,8,0.3125
Adept/Mutalisk,24,0.3125
Corruptor/Medivac,16,0.3125
ThorAP/WidowMineBurrowed,8,0.3125
BroodLord/Lurker,8,0.3125
Banshee/Roach,19,0.3157894736842105
Hellion/Phoenix,19,0.3157894736842105
Hellion/VoidRay,22,0.3181818181818182
LurkerBurrowed/Mutalisk,11,0.3181818181818182
Marine/Mothership,11,0.3181818181818182
Banshee/Colossus,22,0.3181818181818182
Hydralisk/Marine,22,0.3181818181818182
Hydralisk/Immortal,22,0.3181818181818182
Queen/Roach,22,0.3181818181818182
Marauder/ThorAP,14,0.32142857142857145
Medivac/Ultralisk,14,0.32142857142857145
Roach/Zealot,14,0.32142857142857145
Colossus/Oracle,17,0.3235294117647059
HighTemplar/Marauder,20,0.325
Marine/Roach,20,0.325
Banshee/Cyclone,23,0.32608695652173914
Hydralisk/Stalker,35,0.32857142857142857
Lurker/Medivac,3,0.3333333333333333
Queen/Viking,12,0.3333333333333333
Corruptor/Stalker,24,0.3333333333333333
Adept/Baneling,12,0.3333333333333333
Tempest/WidowMineBurrowed,12,0.3333333333333333
Adept/Hellion,12,0.3333333333333333
Corruptor/SiegeTankSieged,15,0.3333333333333333
Infestor/Thor,9,0.3333333333333333
BroodLord/Zergling,15,0.3333333333333333
Liberator/Zealot,21,0.3333333333333333
Adept/Marine,18,0.3333333333333333
Queen/WidowMineBurrowed,12,0.3333333333333333
Infestor/Reaper,21,0.3333333333333333
Hellion/Infestor,24,0.3333333333333333
Carrier/SiegeTank,6,0.3333333333333333
Archon/SwarmHostBurrowed,21,0.3333333333333333
BattleHellion/Zergling,18,0.3333333333333333
Archon/Lurker,6,0.3333333333333333
Archon/Roach,18,0.3333333333333333
Mothership/Oracle,9,0.3333333333333333
Roach/SwarmHostBurrowed,12,0.3333333333333333
Mothership/Zealot,12,0.3333333333333333
Immortal/Reaper,18,0.3333333333333333
LiberatorAG/LurkerBurrowed,3,0.3333333333333333
Marauder/Thor,3,0.3333333333333333
Adept/LiberatorAG,6,0.3333333333333333
Baneling/Mothership,6,0.3333333333333333
Archon/LiberatorAG,3,0.3333333333333333
Corruptor/Thor,3,0.3333333333333333
Adept/Ultralisk,22,0.3409090909090909
Baneling/Zealot,22,0.3409090909090909
HighTemplar/Zergling,19,0.34210526315789475
Marauder/Stalker,19,0.34210526315789475
Baneling/Oracle,19,0.34210526315789475
Colossus/Cyclone,19,0.34210526315789475
Mutalisk/Zergling,19,0.34210526315789475
Hellion/Oracle,16,0.34375
Hellion/Ultralisk,16,0.34375
BroodLord/Immortal,29,0.3448275862068966
Immortal/Ultralisk,26,0.34615384615384615
Cyclone/Mothership,13,0.34615384615384615
Roach/Tempest,33,0.3484848484848485
Lurker/Oracle,10,0.35
Colossus/Marine,20,0.35
Mothership/SwarmHostBurrowed,10,0.35
HighTemplar/Mothership,10,0.35
Corruptor/Roach,17,0.35294117647058826
Banshee/Zergling,17,0.35294117647058826
Adept/BattleHellion,17,0.35294117647058826
Baneling/Colossus,24,0.3541666666666667
Mutalisk/Zealot,24,0.3541666666666667
Ravager/Ultralisk,24,0.3541666666666667
